goal,show_for_goals,bhi_rawlayers_or_intermediate,full_layer_name,data_filename,category_colname,categories,plot,map,timeseries,min_year,max_year
ECO,ECO,layers,"Gross Value Added (GVA, MÛ) from Blue Economy sectors",le_eco_yearly_gva_bhi2019.csv,sector,Coastal tourism|Marine living resources|Marine non-living resources|Marine renewable energy|Maritime transport|Port activities|Shipbuilding and repair,timeseries,,TRUE,2009,2018
ECO,ECO,layers,"Annual growth rate (CAGR) in Blue Economy sectors, from estimated from 2009 and 2018 data in 2020 EU Blue Growth Report",le_eco_bluegrowth_rates_bhi2019.csv,sector,Coastal tourism|Marine living resources|Marine non-living resources|Marine renewable energy|Maritime transport|Port activities|Shipbuilding and repair,,polygons,FALSE,,
PRS,FIS,layers,Pressure due to oxygen debt,hab_oxygen_debt_bhi2019.csv,,,timeseries,polygons,TRUE,2000,2019
PRS,LSP,layers,Pressure due to illegal oil activities,hab_illegal_oil_bhi2019.csv,,,,polygons,FALSE,,
PRS,BD,layers,Pressure due to bottom trawling,hab_bottom_trawl_bhi2019.csv,,,,polygons,FALSE,,
FIS,FIS,layers,"Landings from wildcaught fisheries, tonnes",fis_landings_bhi2019.csv,stock,cod|herring,timeseries,polygons,TRUE,1970,2018
FIS,FIS,layers,Fishing mortality normalized by fishing mortality at max. sustainable yield,fis_ffmsy_bhi2019.csv,stock,cod|herring,timeseries,polygons,TRUE,1970,2018
FIS,FIS,layers,"Proportion of surveyed cod in length categories 20-30, 30-40, 40-60cm with Fulton's K (W/(L^3) _ 100) less than 0.8",fis_cod_penalty_bhi2019.csv,,,timeseries,polygons,,1997,2018
FIS,FIS,layers,Biomass at sea normalized by spawning stock biomass,fis_bbmsy_bhi2019.csv,stock,cod|herring,timeseries,polygons,TRUE,1970,2018
EUT,EUT,layers,"Secchi depth (meters, June-September) measurements",cw_eut_secchi_bhi2019.csv,,,points,points,TRUE,2000,2019
EUT,EUT,layers,Oxygen debt,cw_eut_oxydebt_bhi2019.csv,,,timeseries,polygons,TRUE,2000,2019
EUT,EUT,layers,"Dissolved Inorganic Phosphorus (in surface layer 0-10 m depth, December-February) concentration measurements",cw_eut_dip_bhi2019.csv,,,,points,TRUE,2005,2018
EUT,EUT,layers,"Dissolved Inorganic Nitrogen (nitrate, nitrite, and ammonium in the surface layer 0-10 m depth, December-February) concentration measurements",cw_eut_din_bhi2019.csv,,,,points,TRUE,2005,2018
EUT,EUT,layers,"Chllorphyl a (in surface layer 0-10 m depth, June-September) measurements",cw_eut_chla_bhi2019.csv,,,,points,TRUE,2000,2018
CON,CON,layers,Perfluorooctanesulfonic acid (PFOS) average concentrations (ug/kg),cw_con_pfos_bhi2019.csv,matrix,bio|sed,tsboxplot,polygons,TRUE,2005,2018
CON,CON,layers,Proportions of monitored Substances of Very High Concern (from European Chemical Agency Candidate List),cw_con_penalty_bhi2019.csv,,,histogram,,TRUE,1990,2020
CON,CON,layers,"Average PCBs concentrations (ug/kg, six congeners: CB28, CB52, CB101, CB138, CB153, CB180, a d CB118 in sediments)",cw_con_pcb_bhi2019.csv,matrix,bio|sed,tsboxplot,polygons,TRUE,1990,2018
CON,CON,layers,"Average Dioxin concentrations (ug/kg, includes dioxin-like PCBs)",cw_con_dioxin_bhi2019.csv,matrix,bio|sed,tsboxplot,polygons,TRUE,1998,2018
PRS,AO,layers,Pressure associated with sea surface temperature,cc_sst_bhi2019.csv,,,timeseries,polygons,TRUE,1990,2019
PRS,AO,layers,Pressure associated with salinity of the surface layer,cc_sal_surf_bhi2019.csv,,,timeseries,polygons,TRUE,1990,2019
FP,FP,intermediate,Proportion seafood production from wildcaught fisheries vs. Mariculture production,wildcaught_weight.csv,,,timeseries,polygons,TRUE,2005,2019
BD,BD,intermediate,"Status of seal, based on integrated biodiversity assessment",spp_seals.csv,,,,polygons,FALSE,,
BD,BD,intermediate,"Status of fishes, based on integrated biodiversity assessment",spp_fishes.csv,,,,polygons,FALSE,,
BD,BD,intermediate,"Status of water birds, based on integrated biodiversity assessment",spp_birds.csv,,,,polygons,FALSE,,
CW,CW,intermediate,Secchi depth indicator scores,secchi_indicator.csv,dimension,status|trend,colunmplot,polygons,FALSE,,
CW,CW,intermediate,PFOS indicator scores,pfos_indicator.csv,dimension,status|trend,colunmplot,polygons,FALSE,,
CW,CW,intermediate,PCBs indicator scores,pcb_indicator.csv,dimension,status|trend,colunmplot,polygons,FALSE,,
CW,CW,intermediate,Oxygen debt indicator scores,oxyg_indicator.csv,dimension,status|trend,colunmplot,polygons,FALSE,,
BD,BD,intermediate,"Status of pelagic habitats, based on integrated biodiversity assessment",hab_pelagic.csv,,,,polygons,FALSE,,
BD,BD,intermediate,"Status of benthic habitats, based on integrated biodiversity assessment",hab_benthic.csv,,,,polygons,FALSE,,
CW,CW,intermediate,Dissolved Inorganic Phosphorus indicator scores,dip_indicator.csv,dimension,status|trend,colunmplot,polygons,FALSE,,
CW,CW,intermediate,Dioxin indicator scores,dioxin_indicator.csv,dimension,status|trend,colunmplot,polygons,FALSE,,
CW,CW,intermediate,Dissolved Inorganic Nitrogen indicator scores,din_indicator.csv,dimension,status|trend,colunmplot,polygons,FALSE,,
CW,CW,intermediate,Chlorophyll a indicator scores,chla_indicator.csv,dimension,status|trend,colunmplot,polygons,FALSE,,
